codice_completo,supporto_evomine,prob_mtm,in_mtm
01→,32571,,False
0112→,21148,,False
0102→,20136,,False
011203→,19195,,False
0110→,17920,,False
011223→,16865,,False
011221→,15714,,False
011021→,15714,,False
011020→,15714,,False
010203→,14580,,False
011213→,13003,,False
011012→,12436,,False
011002→,12436,,False
011220→,5045,,False
→01,1941,,False
01→02,1570,,False
0112→03,1466,0.067308,True
01→20,1453,,False
0112→30,1359,0.019231,True
0102→03,1341,0.406639,True
0110→20,1224,0.208633,True
0123→20,1213,,False
0102→30,1178,0.041494,True
0110→02,708,0.05036,True
→0102,654,,False
01→2023,580,,False
01→0203,563,,False
01→0213,490,,False
→0112,453,,False
→0110,442,,False
01→0223,414,,False
01→2013,388,,False
01→2330,361,,False
01→10,360,,False
01→2003,359,,False
01→2112,357,,False
01→1221,357,,False
01→2002,341,,False
01→0220,341,,False
0120→10,326,0.125,True
0102→10,318,0.024896,True
0121→10,318,0.064189,True
0112→10,297,0.125,True
→011203,294,,False
→010203,258,,False
→011020,228,,False
→011221,228,,False
→011021,228,,False
→011002,170,,False
→011012,170,,False
→011223,170,,False
→011213,161,,False
0112→20,158,,False
01→1210,134,,False
01→1012,134,,False
01→2110,113,,False
01→1021,113,,False
01→2010,98,,False
01→1020,98,,False
01→1002,55,,False
01→1220,27,,False
→011220,12,,False
